method,n,proposal,case,event,units,four_event_total_mse,count,signed_bias,pooled_residual_population_variance,mse,mae,max_absolute,mean_within_unit_prompt_repeat_sample_variance,signed_q50,signed_q90,signed_q95,signed_q99,absolute_q50,absolute_q90,absolute_q95,absolute_q99
CROSSFIT_COV_ZERO_SUM,4096,equal_pair_mixture,IDENTITY_HASH_SELECTED,delta_v,12,5.569242049746336e-09,172800,7.921293592353251e-08,2.5424768575986738e-09,2.5424831322878916e-09,3.0083287094946398e-05,0.00036591338981714497,2.5418171804335825e-09,-0.0,5.6609041545906214e-05,8.799766422699694e-05,0.00015076418429115648,1.326815528524813e-05,8.744237666144942e-05,0.00011523206980192301,0.000172594195803268
CROSSFIT_COV_ZERO_SUM,4096,origin,IDENTICAL_POLICY,X,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,4096,origin,IDENTICAL_POLICY,S,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,4096,origin,IDENTICAL_POLICY,W,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,4096,origin,IDENTICAL_POLICY,I,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,4096,origin,IDENTICAL_POLICY,delta_v,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,4096,origin,IDENTITY_HASH_SELECTED,X,12,5.463258720070947e-09,172800,1.006213976550891e-07,2.417671010208363e-10,2.4177722568650233e-10,8.064686301639231e-06,0.00016294925015137348,2.4168828049436125e-10,0.0,1.39041919580247e-05,2.4649578938539324e-05,5.069438488647131e-05,2.2351628058647858e-06,2.4360247284006664e-05,3.5573533131745334e-05,6.228557578023776e-05
CROSSFIT_COV_ZERO_SUM,4096,origin,IDENTITY_HASH_SELECTED,S,12,5.463258720070947e-09,172800,6.031489923114486e-08,1.3163645951372966e-09,1.316368233024366e-09,2.0217734986950943e-05,0.0003378375709275686,1.3154392475974898e-09,0.0,3.690357432440126e-05,6.11081547330211e-05,0.00011248815398331556,6.81885299652861e-06,6.126718388074076e-05,8.46155828362123e-05,0.0001330964362135149
CROSSFIT_COV_ZERO_SUM,4096,origin,IDENTITY_HASH_SELECTED,W,12,5.463258720070947e-09,172800,3.6441556887298e-08,1.4391755891390681e-09,1.439176917126136e-09,2.2609765729063693e-05,0.0003117154613337578,1.4387087753355108e-09,0.0,4.268218341865539e-05,6.584066280654236e-05,0.00011247196385943759,9.957611526992672e-06,6.550880447550273e-05,8.64199117591058e-05,0.00012976716814473428
CROSSFIT_COV_ZERO_SUM,4096,origin,IDENTITY_HASH_SELECTED,I,12,5.463258720070947e-09,172800,-1.9737785377485034e-07,2.4658973862167816e-09,2.4659363442339427e-09,2.9617423899625462e-05,0.00040527334238065664,2.4651339712641332e-09,0.0,5.5563698528636026e-05,8.555364506566549e-05,0.0001457203588675481,1.2973401152897575e-05,8.581277128032446e-05,0.00011308997111214891,0.00016996156455538136
