seed,arm,anchor,n,noise,r,k,full_J_rmse,direction_omission_rmse,fit_sampling_rmse,total_rmse,triangle_bound_mean,total_norm_mean,max_triangle_violation
304,X_VALID,24,64,0,0,10,6.905083722785196e-05,0.002287536142346422,0.0,0.0023491184301739527,0.03415556615379053,0.03404900647196183,-7.908258517818484e-05
304,X_VALID,24,256,0,0,10,6.905083722785196e-05,0.002287536142346422,0.0,0.0023491184301739527,0.03415556615379053,0.03404900647196183,-7.908258517818484e-05
304,X_VALID,40,exact,0,0,11,2.5340732698267426e-05,0.002692215972749939,0.0,0.002697813468279845,0.0393314955730062,0.039055836326925886,-0.00014845350384709577
304,X_VALID,40,16,0,0,11,2.5340732698267426e-05,0.002692215972749939,0.0,0.002697813468279845,0.0393314955730062,0.039055836326925886,-0.00014845350384709577
304,X_VALID,40,64,0,0,11,2.5340732698267426e-05,0.002692215972749939,0.0,0.002697813468279845,0.0393314955730062,0.039055836326925886,-0.00014845350384709577
304,X_VALID,40,256,0,0,11,2.5340732698267426e-05,0.002692215972749939,0.0,0.002697813468279845,0.0393314955730062,0.039055836326925886,-0.00014845350384709577
305,X_BASE,8,exact,0,0,21,4.162866173871192e-05,0.002662590540604241,0.0,0.0026683858377347597,0.03806578728346812,0.03772773627476025,-1.3459032077195454e-05
305,X_BASE,8,16,0,0,21,4.162866173871192e-05,0.002662590540604241,0.0,0.0026683858377347597,0.03806578728346812,0.03772773627476025,-1.3459032077195454e-05
305,X_BASE,8,64,0,0,21,4.162866173871192e-05,0.002662590540604241,0.0,0.0026683858377347597,0.03806578728346812,0.03772773627476025,-1.3459032077195454e-05
305,X_BASE,8,256,0,0,21,4.162866173871192e-05,0.002662590540604241,0.0,0.0026683858377347597,0.03806578728346812,0.03772773627476025,-1.3459032077195454e-05
305,X_BASE,24,exact,0,0,22,0.00027050561466907864,0.008907042620506747,0.0,0.009162267859705944,0.13379072891952562,0.13359295137921878,-0.00013586065141346637
305,X_BASE,24,16,0,0,22,0.00027050561466907864,0.008907042620506747,0.0,0.009162267859705944,0.13379072891952562,0.13359295137921878,-0.00013586065141346637
305,X_BASE,24,64,0,0,22,0.00027050561466907864,0.008907042620506747,0.0,0.009162267859705944,0.13379072891952562,0.13359295137921878,-0.00013586065141346637
305,X_BASE,24,256,0,0,22,0.00027050561466907864,0.008907042620506747,0.0,0.009162267859705944,0.13379072891952562,0.13359295137921878,-0.00013586065141346637
305,X_BASE,40,exact,0,0,12,0.0004170344263801855,0.006430650773644118,0.0,0.006283223230314379,0.09711687301644806,0.08991345890767588,-0.004938446481882262
305,X_BASE,40,16,0,0,12,0.0004170344263801855,0.006430650773644118,0.0,0.006283223230314379,0.09711687301644806,0.08991345890767588,-0.004938446481882262
305,X_BASE,40,64,0,0,12,0.0004170344263801855,0.006430650773644118,0.0,0.006283223230314379,0.09711687301644806,0.08991345890767588,-0.004938446481882262
305,X_BASE,40,256,0,0,12,0.0004170344263801855,0.006430650773644118,0.0,0.006283223230314379,0.09711687301644806,0.08991345890767588,-0.004938446481882262
305,X_VALID,8,exact,0,0,13,0.00013336019498691297,0.007836300668449448,0.0,0.007765533944625748,0.11676821090555933,0.11377784765055494,-0.0027792351768641532
305,X_VALID,8,16,0,0,13,0.00013336019498691297,0.007836300668449448,0.0,0.007765533944625748,0.11676821090555933,0.11377784765055494,-0.0027792351768641532
305,X_VALID,8,64,0,0,13,0.00013336019498691297,0.007836300668449448,0.0,0.007765533944625748,0.11676821090555933,0.11377784765055494,-0.0027792351768641532
305,X_VALID,8,256,0,0,13,0.00013336019498691297,0.007836300668449448,0.0,0.007765533944625748,0.11676821090555933,0.11377784765055494,-0.0027792351768641532
305,X_VALID,24,exact,0,0,10,4.389557956842606e-05,0.0009992764412932568,0.0,0.0009697204644910074,0.013939750463649049,0.012845335617596236,-0.0010221389532215188
305,X_VALID,24,16,0,0,10,4.389557956842606e-05,0.0009992764412932568,0.0,0.0009697204644910074,0.013939750463649049,0.012845335617596236,-0.0010221389532215188
305,X_VALID,24,64,0,0,10,4.389557956842606e-05,0.0009992764412932568,0.0,0.0009697204644910074,0.013939750463649049,0.012845335617596236,-0.0010221389532215188
